Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4
K147,14,165,18769,18769,5977,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K834,15,181,18630,20907,20907,61,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K722,21,176,18196,4704,4704,62,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M841,3,177,20250,8052,8052,43,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q450,30,182,24975,17152,17152,161,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X154,7,199,33975,33975,5827,182,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M001,2,179,26919,7693,7693,145,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K010,15,179,16961,717,717,116,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K100,21,179,18000,10758,10758,60,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K102,20,180,19929,13714,13714,159,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X093,8,198,21442,21442,14919,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q114,27,178,20588,22625,22527,113,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K115,18,181,20662,4393,4393,168,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q012,24,180,19479,17419,17419,175,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K121,21,182,19170,5052,5052,160,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
X009,10,193,27136,27136,10281,181,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
M126,2,179,25403,11167,11167,45,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
Q127,30,178,20700,15000,15000,93,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
K013,19,177,24144,8383,8383,105,13.754056406798032,1.6539332961386832,-0.4304941830801343,-1.0500668669955386
