Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,ActualDuration,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
R019,31,112,144813,234239,94531,136,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
R722,31,186,478689,233390,198828,185,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
Q096,27,161,68649,33131,33131,398,-0.6681577860725346,-0.01918664334629024,-0.05244073344527799,-0.012288455629727595,0.006804609621827655,-0.0020297708672218275,0.011033900007786705,0.0021558222506503884,-0.015486937808177868,0.011045427864816628
K313,13,191,1753653,1753653,398052,211,0.5298072188285304,0.013486020052538376,0.009589560551339128,-0.013609665908729586,-0.002142062582018125,0.004460374192393569,0.0039840543733725125,-0.002180367670266331,-0.003143325757109147,0.006848926516764086
M847,6,141,81077,210834,210834,195,-0.23237918197320412,0.009492821321252527,-0.012124404846560195,0.006819583247992211,-0.0002541800976191108,0.0003591921069058661,-0.00010870012815825537,-0.008171420542574559,-0.004643478735257198,-0.009050876773580163
Q098,26,159,237420,168443,153111,236,-0.25559228203180046,-0.016393046237253298,-0.0024167972150786984,0.004497733478432615,0.010829538586323547,0.011654240811374724,-0.00042969427641983667,-0.003190049818728945,0.0009107253319982351,-0.009478369230183142
Q054,28,160,99000,287970,287970,266,-0.18243263151064226,0.00474603099383069,-0.01989926820330445,0.003702819860445623,0.004304220010304785,0.008495461893532766,-0.0036335796328528496,0.004974313584811319,0.007466019910105238,-0.008081617454743612
Q130,26,184,400084,380136,318585,141,0.34397270710843414,0.022196038989891444,-0.008962259186987136,0.018994035319572073,0.005041371523947155,-0.0016906347561023744,-0.0017261596162916296,-0.0006337942316024368,-0.0008913358567761477,0.0016280900855603006
X109,9,212,2344122,2344122,477740,211,0.5570083797692956,0.010899877947245878,0.009536095044809996,-0.011119215237005214,-0.0027627966823191943,0.0013323914352665774,0.005122333349873469,-0.007234431809659083,-0.005800508620055077,0.0019175774560294214
K436,19,127,96262,87309,11102,166,-0.34150205585004423,-0.0031214836615720627,-0.012593119510690434,-0.000915756589081018,-0.0024452295718607846,-0.0001847741428114589,0.0010363784590216693,-0.0020828650751149396,0.009093894294938069,-0.0065575675122663485
K091,17,153,691081,505855,441830,112,0.3837844059361244,-0.008937053438159419,0.007185493954313567,-0.006123750721661894,-0.002055934390114013,-0.0033025328376974383,-0.0018983637191371673,-0.0040141482383133234,-0.0023434455483787504,-0.00015311772117107016
X109,9,154,54636,18313,18313,162,0.5082606850151277,0.005555687042843542,-0.0034164951437897256,-0.006855775543217929,-0.0038293418851118874,-0.00030129993601510065,0.0006682543117687118,-0.005031470185059348,-0.0004088862625338838,0.006593375018102265
Q148,30,154,16778,16778,24132,141,0.5082606850151277,0.005555687042843542,-0.0034164951437897256,-0.006855775543217929,-0.0038293418851118874,-0.00030129993601510065,0.0006682543117687118,-0.005031470185059348,-0.0004088862625338838,0.006593375018102265
R455,31,156,221052,221052,6217,153,-0.4176180136724976,0.0002500148573973256,-0.01868037053874424,0.012003266379796092,0.002231136211306064,0.0014283657188362265,-0.00169416030699776,0.0011610338013881118,0.008236933525328042,-0.00273262925372916
Q052,29,156,10256,7937,7937,149,0.5082606850151277,0.005555687042843542,-0.0034164951437897256,-0.006855775543217929,-0.0038293418851118874,-0.00030129993601510065,0.0006682543117687118,-0.005031470185059348,-0.0004088862625338838,0.006593375018102265
Q070,30,154,10760,10109,10109,162,0.5082606850151277,0.005555687042843542,-0.0034164951437897256,-0.006855775543217929,-0.0038293418851118874,-0.00030129993601510065,0.0006682543117687118,-0.005031470185059348,-0.0004088862625338838,0.006593375018102265
X090,9,155,11418,4719,4719,159,0.5082606850151277,0.005555687042843542,-0.0034164951437897256,-0.006855775543217929,-0.0038293418851118874,-0.00030129993601510065,0.0006682543117687118,-0.005031470185059348,-0.0004088862625338838,0.006593375018102265
Q415,26,152,49540,28880,38169,67,0.34279096482141846,0.004614796885754016,-0.003367240861930602,-0.008329717679944768,-0.0038018194307702707,0.0013579263182084708,-0.0002377597429829048,8.622003606845013e-05,-0.0004976182329889688,0.004127588677181667
M894,2,157,25963,81173,56465,153,-0.013175338605177323,0.0037898055982057074,-0.00791471067363589,0.0023249660080418974,0.0017835781336719393,0.0007011544320676972,-0.00017667773851536274,0.00348130122868293,0.005974594021240037,0.0005169966933921036
Q141,30,157,14655,13181,19089,114,0.34279096482141846,0.004614796885754016,-0.003367240861930602,-0.008329717679944768,-0.0038018194307702707,0.0013579263182084708,-0.0002377597429829048,8.622003606845013e-05,-0.0004976182329889688,0.004127588677181667
Q201,25,152,70249,37574,37574,84,0.34279096482141846,0.004614796885754016,-0.003367240861930602,-0.008329717679944768,-0.0038018194307702707,0.0013579263182084708,-0.0002377597429829048,8.622003606845013e-05,-0.0004976182329889688,0.004127588677181667
Q229,24,152,73150,24225,24225,43,0.34279096482141846,0.004614796885754016,-0.003367240861930602,-0.008329717679944768,-0.0038018194307702707,0.0013579263182084708,-0.0002377597429829048,8.622003606845013e-05,-0.0004976182329889688,0.004127588677181667
Q037,29,156,19939,10936,10936,148,0.34279096482141846,0.004614796885754016,-0.003367240861930602,-0.008329717679944768,-0.0038018194307702707,0.0013579263182084708,-0.0002377597429829048,8.622003606845013e-05,-0.0004976182329889688,0.004127588677181667
