Identifier,District,PlannedDuration,Budget,EstimatedCost,ActualCost,PC1,PC2,PC3,PC4
X184,7,180,15956,14226,14226,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M136,5,180,14710,17872,17872,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
K145,32,182,22500,24538,24538,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M155,4,181,17145,3788,3788,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
K189,17,180,16740,17785,17785,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
X193,12,178,23461,16512,16512,11.762250921518124,0.1963389774611289,-1.983678501409822,0.5873903857653151
K024,15,182,17460,7633,7633,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
X027,7,180,23400,14777,14777,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
K307,13,179,21870,705,705,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M075,3,182,21600,10624,10624,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M646,4,181,18045,2712,2712,11.762250921518122,0.1963389774611292,-1.9836785014098222,0.5873903857653151
M876,6,176,6646,12705,12705,-2.914615440641985,1.6026656954277483,-0.722245085969026,-0.7598164021785063
K174,19,181,23267,6501,6501,11.753842340663924,0.8152182537660531,-1.1540730277566684,-0.38385567822005806
K017,14,182,17487,13718,13718,11.753842340663924,0.8152182537660531,-1.1540730277566684,-0.38385567822005806
K346,19,181,22833,5485,5485,11.753842340663924,0.8152182537660531,-1.1540730277566684,-0.38385567822005806
K304,16,180,21245,32295,32295,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K913,32,177,21240,8247,8247,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K383,32,183,16020,11550,11550,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
Q074,26,182,20403,18493,18493,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K857,19,178,16638,12866,12866,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M017,2,177,22694,7555,7555,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M108,4,177,18537,14187,14187,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M123,5,182,24157,14997,14997,13.583821328302307,1.4947425591445644,0.42693537321347896,-1.0425074611267884
M132,6,181,25622,112,112,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M146,4,176,15160,13061,13061,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
X152,8,181,25567,2368,2368,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K157,14,177,24786,5577,5577,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M161,5,181,22050,13154,13154,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
Q178,26,182,16020,19795,19795,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
Q186,26,177,20880,12983,12983,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M002,2,177,16830,4362,4362,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K206,22,176,17007,5539,5539,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K213,19,180,19776,19202,19202,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K023,14,179,23170,13115,13115,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K238,21,179,19997,29225,29225,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K273,19,180,18697,5719,5719,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K003,13,177,14175,5910,5910,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K328,19,180,19122,4859,4859,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K038,15,177,17240,2008,2008,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M048,6,178,18908,15648,15648,13.583821328302307,1.4947425591445644,0.42693537321347896,-1.0425074611267884
X062,8,182,17586,11357,11357,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M072,4,178,21099,16109,16109,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
Q079,25,178,28281,8198,8198,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M096,4,182,17936,16641,16641,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K009,13,177,14175,5814,5814,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
Q595,28,177,16116,3304,3304,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
M107,4,177,10852,9588,9588,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
X034,10,182,23314,13564,13564,13.583821328302305,1.494742559144565,0.42693537321347885,-1.0425074611267893
K093,13,178,20610,705,705,14.302077263436,0.38157345145510996,-0.6707577525952655,-0.02278373303215382
Q509,27,155,1055970,594384,439006,0.06021749277457913,-0.0995146901962927,-0.24644155222945244,0.7419350801260391
M047,2,184,138650,360287,244457,-16.437073775179666,2.3708502068651818,0.8571956642842983,-1.6350353602287067
M470,3,188,561061,598978,388374,-13.652842597189755,3.0330698360728574,0.11515662134857632,-1.0505342169446745
M056,1,189,136900,172065,162459,-12.608448179139021,2.248189253644223,-0.12803225365957444,-0.02968068796262222
M183,2,182,30000,3634,3634,11.731537307011822,0.12787165324016742,0.024580840716729023,0.04074697279663423
X073,9,135,95049,138877,22783,-10.32717210319968,0.5885157102383045,-2.8150658930383035,-0.37533744874010955
Q168,25,156,64620,34019,34019,-11.071222058013289,1.4400304672710438,1.2713737532378624,-0.5885576635402778
K014,22,151,149793,190998,148412,-4.159854463962548,-3.033854776811306,-1.5777792186408133,-0.4999537215884409
